Country,gdp_g8e3,infant_mortality_g40,inflation_g6
A,TRUE,FALSE,FALSE
AFG,TRUE,TRUE,FALSE
AG,FALSE,FALSE,FALSE
AL,FALSE,TRUE,TRUE
AMSA,FALSE,FALSE,FALSE
AND,FALSE,FALSE,FALSE
ANG,FALSE,TRUE,TRUE
ARM,TRUE,FALSE,TRUE
ARU,FALSE,FALSE,FALSE
AUS,TRUE,FALSE,FALSE
AXA,FALSE,FALSE,FALSE
AZ,TRUE,TRUE,TRUE
B,TRUE,FALSE,FALSE
BD,TRUE,TRUE,FALSE
BDS,FALSE,FALSE,FALSE
BEN,FALSE,TRUE,TRUE
BERM,FALSE,FALSE,FALSE
BF,FALSE,TRUE,FALSE
BG,TRUE,FALSE,TRUE
BHT,FALSE,TRUE,TRUE
BI,FALSE,TRUE,TRUE
BIH,FALSE,TRUE,FALSE
BOL,TRUE,TRUE,TRUE
BR,TRUE,TRUE,TRUE
BRN,FALSE,FALSE,FALSE
BRU,FALSE,FALSE,FALSE
BS,FALSE,FALSE,FALSE
BVIR,FALSE,FALSE,FALSE
BY,TRUE,FALSE,TRUE
BZ,FALSE,FALSE,FALSE
C,TRUE,FALSE,FALSE
CAM,TRUE,TRUE,TRUE
CAYM,FALSE,FALSE,FALSE
CDN,TRUE,FALSE,FALSE
CH,TRUE,FALSE,FALSE
CI,TRUE,TRUE,TRUE
CL,TRUE,FALSE,TRUE
CO,TRUE,FALSE,TRUE
COCO,FALSE,FALSE,FALSE
COM,FALSE,TRUE,TRUE
COOK,FALSE,FALSE,FALSE
CR,TRUE,FALSE,TRUE
CV,FALSE,TRUE,FALSE
CY,FALSE,FALSE,FALSE
CZ,TRUE,FALSE,TRUE
D,TRUE,FALSE,FALSE
DJI,FALSE,TRUE,FALSE
DK,TRUE,FALSE,FALSE
DOM,TRUE,TRUE,TRUE
DZ,TRUE,TRUE,TRUE
E,TRUE,FALSE,FALSE
EAK,TRUE,TRUE,FALSE
EAT,TRUE,TRUE,TRUE
EAU,TRUE,TRUE,TRUE
EC,TRUE,FALSE,TRUE
ER,FALSE,TRUE,TRUE
ES,TRUE,FALSE,TRUE
ET,TRUE,TRUE,TRUE
ETH,TRUE,TRUE,TRUE
EW,TRUE,FALSE,TRUE
F,TRUE,FALSE,FALSE
FALK,FALSE,FALSE,FALSE
FARX,FALSE,FALSE,TRUE
FGU,FALSE,FALSE,FALSE
FJI,FALSE,FALSE,FALSE
FL,FALSE,FALSE,FALSE
FPOL,FALSE,FALSE,FALSE
FSM,FALSE,FALSE,FALSE
G,FALSE,TRUE,TRUE
GAZA,FALSE,FALSE,FALSE
GB,TRUE,FALSE,FALSE
GBG,FALSE,FALSE,TRUE
GBJ,FALSE,FALSE,FALSE
GBM,FALSE,FALSE,TRUE
GBZ,FALSE,FALSE,FALSE
GCA,TRUE,TRUE,TRUE
GE,FALSE,FALSE,FALSE
GH,TRUE,TRUE,TRUE
GNB,FALSE,TRUE,TRUE
GQ,FALSE,TRUE,TRUE
GR,TRUE,FALSE,TRUE
GROX,FALSE,FALSE,FALSE
GUAD,FALSE,FALSE,FALSE
GUAM,FALSE,FALSE,FALSE
GUY,FALSE,TRUE,TRUE
H,TRUE,FALSE,TRUE
HCA,TRUE,TRUE,TRUE
HELX,FALSE,FALSE,FALSE
HONX,TRUE,FALSE,FALSE
HR,TRUE,FALSE,FALSE
I,TRUE,FALSE,FALSE
IL,TRUE,FALSE,TRUE
IND,TRUE,TRUE,TRUE
IR,TRUE,TRUE,TRUE
IRL,TRUE,FALSE,FALSE
IRQ,TRUE,TRUE,FALSE
IS,FALSE,FALSE,FALSE
J,TRUE,FALSE,FALSE
JA,TRUE,FALSE,TRUE
JOR,TRUE,FALSE,FALSE
K,FALSE,TRUE,FALSE
KAZ,TRUE,TRUE,TRUE
KGZ,FALSE,TRUE,TRUE
KIR,FALSE,TRUE,FALSE
KN,FALSE,FALSE,FALSE
KOS,FALSE,FALSE,FALSE
KWT,TRUE,FALSE,FALSE
L,TRUE,FALSE,FALSE
LAO,FALSE,TRUE,TRUE
LAR,TRUE,TRUE,TRUE
LB,FALSE,TRUE,TRUE
LS,FALSE,TRUE,TRUE
LT,TRUE,FALSE,TRUE
LV,TRUE,FALSE,TRUE
M,FALSE,FALSE,FALSE
MA,TRUE,TRUE,FALSE
MACX,TRUE,FALSE,TRUE
MAL,TRUE,FALSE,FALSE
MART,FALSE,FALSE,FALSE
MAYO,FALSE,TRUE,FALSE
MC,FALSE,FALSE,FALSE
MD,TRUE,TRUE,TRUE
MEX,TRUE,FALSE,TRUE
MH,FALSE,TRUE,FALSE
MK,FALSE,FALSE,TRUE
MNE,FALSE,FALSE,FALSE
MNG,FALSE,TRUE,TRUE
MNTS,FALSE,FALSE,FALSE
MOC,TRUE,TRUE,TRUE
MS,TRUE,FALSE,TRUE
MV,FALSE,TRUE,TRUE
MW,FALSE,TRUE,TRUE
MYA,TRUE,TRUE,TRUE
N,TRUE,FALSE,FALSE
,FALSE,FALSE,FALSE
NAM,FALSE,TRUE,TRUE
NAU,FALSE,TRUE,FALSE
NCA,FALSE,FALSE,FALSE
NEP,TRUE,TRUE,TRUE
NIC,FALSE,TRUE,TRUE
NIUE,FALSE,FALSE,FALSE
NL,TRUE,FALSE,FALSE
NMIS,FALSE,FALSE,FALSE
NOK,TRUE,FALSE,FALSE
NORF,FALSE,FALSE,FALSE
NZ,TRUE,FALSE,FALSE
OM,TRUE,FALSE,FALSE
P,TRUE,FALSE,FALSE
PA,TRUE,FALSE,FALSE
PAL,FALSE,FALSE,FALSE
PE,TRUE,TRUE,TRUE
PITC,FALSE,FALSE,FALSE
PK,TRUE,TRUE,TRUE
PL,TRUE,FALSE,TRUE
PNG,TRUE,TRUE,TRUE
PR,TRUE,FALSE,TRUE
PY,TRUE,FALSE,TRUE
Q,TRUE,FALSE,FALSE
R,TRUE,FALSE,TRUE
RA,TRUE,FALSE,FALSE
RB,FALSE,TRUE,TRUE
RC,TRUE,FALSE,FALSE
RCA,FALSE,TRUE,TRUE
RCB,FALSE,TRUE,TRUE
RCH,TRUE,FALSE,TRUE
REUN,FALSE,FALSE,FALSE
RG,FALSE,TRUE,FALSE
RH,FALSE,TRUE,TRUE
RI,TRUE,TRUE,TRUE
RIM,FALSE,TRUE,FALSE
RL,TRUE,FALSE,TRUE
RM,TRUE,TRUE,TRUE
RMM,FALSE,TRUE,TRUE
RN,FALSE,TRUE,TRUE
RO,TRUE,FALSE,TRUE
ROK,TRUE,FALSE,FALSE
ROU,TRUE,FALSE,TRUE
RP,TRUE,FALSE,TRUE
RSA,TRUE,TRUE,TRUE
RSM,FALSE,FALSE,FALSE
RT,FALSE,TRUE,TRUE
RWA,FALSE,TRUE,TRUE
S,TRUE,FALSE,FALSE
SA,TRUE,TRUE,FALSE
SD,FALSE,TRUE,TRUE
SF,TRUE,FALSE,FALSE
SGP,TRUE,FALSE,FALSE
SK,TRUE,FALSE,TRUE
SLB,FALSE,FALSE,TRUE
SLO,TRUE,FALSE,TRUE
SMAR,FALSE,FALSE,FALSE
SME,FALSE,FALSE,TRUE
SN,TRUE,TRUE,TRUE
SP,FALSE,TRUE,FALSE
SPMI,FALSE,FALSE,FALSE
SRB,TRUE,FALSE,TRUE
STP,FALSE,TRUE,TRUE
SUD,TRUE,TRUE,TRUE
SVAX,FALSE,FALSE,FALSE
SY,FALSE,FALSE,FALSE
SYR,TRUE,FALSE,TRUE
TAD,FALSE,TRUE,TRUE
TCH,FALSE,TRUE,TRUE
THA,TRUE,FALSE,FALSE
TJ,TRUE,FALSE,TRUE
TL,FALSE,TRUE,TRUE
TM,TRUE,TRUE,TRUE
TN,TRUE,FALSE,FALSE
TO,FALSE,TRUE,FALSE
TR,TRUE,TRUE,TRUE
TT,TRUE,FALSE,FALSE
TUCA,FALSE,FALSE,FALSE
TUV,FALSE,FALSE,FALSE
UA,TRUE,FALSE,TRUE
UAE,TRUE,FALSE,FALSE
USA,TRUE,FALSE,FALSE
UZB,TRUE,TRUE,TRUE
V,FALSE,FALSE,FALSE
VIRG,FALSE,FALSE,FALSE
VN,TRUE,FALSE,TRUE
VU,FALSE,TRUE,TRUE
WAFU,FALSE,FALSE,FALSE
WAG,FALSE,TRUE,FALSE
WAL,FALSE,TRUE,TRUE
WAN,TRUE,TRUE,TRUE
WD,FALSE,FALSE,FALSE
WEST,FALSE,FALSE,TRUE
WG,FALSE,FALSE,FALSE
WL,FALSE,FALSE,FALSE
WS,FALSE,FALSE,TRUE
WSA,FALSE,TRUE,FALSE
WV,FALSE,FALSE,FALSE
XMAS,FALSE,FALSE,FALSE
YE,TRUE,TRUE,TRUE
YV,TRUE,FALSE,TRUE
Z,TRUE,TRUE,TRUE
ZRE,TRUE,TRUE,TRUE
ZW,TRUE,TRUE,TRUE
