Country,Name,Percentage
GE,Abkhaz,1.8
EAU,Acholi,4.0
DJI,Afar,35.0
ER,Afar,4.0
ETH,Afar,4.0
BDS,African,80.0
BEN,African,99.0
BR,African,44.0
CAM,African,13.0
CV,African,28.0
GH,African,99.8
GNB,African,99.0
JA,African,76.3
KN,African,100.0
LB,African,95.0
RT,African,99.0
SD,African,97.0
TUCA,African,90.0
WAG,African,99.0
WAL,African,99.0
WAN,African,99.0
WG,African,100.0
WL,African,90.3
Z,African,98.7
ZW,African,98.0
HELX,African descent,50.0
MART,African-white-Indian,90.0
SA,Afro-Asian,10.0
JA,Afro-Chinese,1.2
JA,Afro-East Indian,3.0
JA,Afro-European,15.1
AL,Albanian,95.0
KOS,Albanian,88.0
MK,Albanian,22.0
MNE,Albanian,5.0
FL,Alemannic,95.0
LB,Americo-Liberians,5.0
FGU,Amerindian,12.0
GUY,Amerindian,4.0
MEX,Amerindian,30.0
PR,Amerindian,0.4
SME,Amerindian,2.6
YV,Amerindian,2.0
GCA,Amerindian Amerindian,44.0
PY,Amerindians,5.0
ETH,Amhara Tigrean,32.0
AND,Andorran,30.0
BRN,Arab,10.0
CL,Arab,7.0
EAK,Arab,1.0
EAU,Arab,1.0
IR,Arab,3.0
IRQ,Arab,75.0
JOR,Arab,98.0
KWT,Arab,35.0
Q,Arab,40.0
RL,Arab,95.0
SA,Arab,90.0
SUD,Arab,39.0
SYR,Arab,90.3
UAE,Arab Iranian,23.0
DZ,Arab-Berber,99.0
MA,Arab-Berber,99.1
TN,Arab-Berber,98.0
ARM,Armenian,93.0
AZ,Armenian,2.3
BG,Armenian,0.3
GE,Armenian,8.1
JOR,Armenian,1.0
RL,Armenian,4.0
AUS,Asian,4.0
BRN,Asian,13.0
CDN,Asian,11.5
NMIS,Asian,56.3
PR,Asian,0.4
USA,Asian,3.3
WAL,Asian,1.0
ZW,Asian,1.0
IRQ,Assyrian,5.0
BOL,Aymara,25.0
IR,Azerbaijani,24.0
ARM,Azeri,3.0
AZ,Azeri,90.0
GE,Azeri,5.7
EAU,Baganda,17.0
EAU,Bagisu,5.0
BRN,Bahraini,63.0
ANG,Bakongo,13.0
IR,Baloch,2.0
RCA,Banda,27.0
CI,Baoule,23.0
R,Bashkir,0.9
EAU,Basogo,8.0
SPMI,Basques Bretons,100.0
EAU,Batobo,3.0
RB,Batswana,95.0
RCA,Baya,34.0
SUD,Beja,6.0
BD,Bengali,98.0
LAR,Berber Arab,97.0
RN,Beri Beri,4.3
CI,Bete,18.0
BHT,Bhote,50.0
AXA,Black,90.1
BERM,Black,54.0
BVIR,Black,83.4
CAYM,Black,20.0
PR,Black,8.0
