Sea,Country,Province
Atlantic Ocean,AG,Antigua and Barbuda
Caribbean Sea,AG,Antigua and Barbuda
Mediterranean Sea,AL,Albania
Pacific Ocean,AMSA,American Samoa
Atlantic Ocean,ANG,Bengo
Atlantic Ocean,ANG,Benguela
Atlantic Ocean,ANG,Cabinda
Atlantic Ocean,ANG,Cuanza Sul
Atlantic Ocean,ANG,Luanda
Atlantic Ocean,ANG,Namibe
Atlantic Ocean,ANG,Zaire
Caribbean Sea,ARU,Aruba
Indian Ocean,AUS,New South Wales
Pacific Ocean,AUS,New South Wales
Indian Ocean,AUS,Northern Territory
Pacific Ocean,AUS,Queensland
Indian Ocean,AUS,South Australia
Indian Ocean,AUS,Tasmania
Pacific Ocean,AUS,Tasmania
Indian Ocean,AUS,Victoria
Pacific Ocean,AUS,Victoria
Indian Ocean,AUS,Western Australia
Atlantic Ocean,AXA,Anguilla
Caribbean Sea,AXA,Anguilla
North Sea,B,West Flanders
Gulf of Bengal,BD,Bangladesh
Atlantic Ocean,BDS,Barbados
Atlantic Ocean,BEN,Benin
Atlantic Ocean,BERM,Bermuda
Black Sea,BG,Bulgaria
Mediterranean Sea,BIH,Bosnia and Herzegovina
Atlantic Ocean,BR,Alagoas
Atlantic Ocean,BR,Amapa
Atlantic Ocean,BR,Bahia
Atlantic Ocean,BR,Ceara
Atlantic Ocean,BR,Espirito Santo
Atlantic Ocean,BR,Maranhao
Atlantic Ocean,BR,Para
Atlantic Ocean,BR,Paraiba
Atlantic Ocean,BR,Parana
Atlantic Ocean,BR,Pernambuco
Atlantic Ocean,BR,Rio de Janeiro
Atlantic Ocean,BR,Rio Grande do Norte
Atlantic Ocean,BR,Rio Grande do Sul
Atlantic Ocean,BR,Santa Catarina
Atlantic Ocean,BR,Sao Paulo
Atlantic Ocean,BR,Sergipe
Persian Gulf,BRN,Bahrain
South China Sea,BRU,Brunei
Atlantic Ocean,BS,Bahamas
Atlantic Ocean,BVIR,British Virgin Islands
Caribbean Sea,BVIR,British Virgin Islands
Caribbean Sea,BZ,Belize
Atlantic Ocean,C,Ciego de Avila
Caribbean Sea,C,Ciego de Avila
Caribbean Sea,C,Cienfuegos
Gulf of Mexico,C,Ciudad de la Habana
Caribbean Sea,C,Granma
Atlantic Ocean,C,Guantanamo
Caribbean Sea,C,Guantanamo
Atlantic Ocean,C,Holguin
Caribbean Sea,C,Isla de la Juventud
Atlantic Ocean,C,La Habana
Caribbean Sea,C,La Habana
Gulf of Mexico,C,La Habana
Atlantic Ocean,C,Las Tunas
Caribbean Sea,C,Las Tunas
Atlantic Ocean,C,Matanzas
Caribbean Sea,C,Matanzas
Caribbean Sea,C,Pinar del Rio
Gulf of Mexico,C,Pinar del Rio
Atlantic Ocean,C,Sancti Spiritus
Caribbean Sea,C,Sancti Spiritus
Caribbean Sea,C,Santiago de Cuba
Atlantic Ocean,C,Villa Clara
Atlantic Ocean,CAM,Centre
Atlantic Ocean,CAM,Cote/Littoral
Atlantic Ocean,CAM,Sudoueste
Caribbean Sea,CAYM,Cayman Islands
Pacific Ocean,CDN,British Columbia
Atlantic Ocean,CDN,Manitoba
Atlantic Ocean,CDN,New Brunswick
Atlantic Ocean,CDN,Newfoundland
Arctic Ocean,CDN,Northwest Territories
Atlantic Ocean,CDN,Northwest Territories
Atlantic Ocean,CDN,Nova Scotia
Atlantic Ocean,CDN,Ontario
Atlantic Ocean,CDN,Prince Edward Island
Atlantic Ocean,CDN,Quebec
Arctic Ocean,CDN,Yukon Territory
Pacific Ocean,CDN,Yukon Territory
Atlantic Ocean,CI,Cote dIvoire
Gulf of Bengal,CL,Sri Lanka
Indian Ocean,CL,Sri Lanka
Caribbean Sea,CO,Antioquia
Caribbean Sea,CO,Atlantico
Pacific Ocean,CO,Cauca
Caribbean Sea,CO,Choco
Pacific Ocean,CO,Choco
Caribbean Sea,CO,Cordoba
Caribbean Sea,CO,"Guajira, La"
Caribbean Sea,CO,Magdalena
Pacific Ocean,CO,Narino
Caribbean Sea,CO,Sucre
Pacific Ocean,CO,Valle de Cauca
Indian Ocean,COCO,Cocos Islands
Indian Ocean,COM,Comoros
Pacific Ocean,COOK,Cook Islands
Pacific Ocean,CR,Guanacaste
Caribbean Sea,CR,Limon
Pacific Ocean,CR,Puntarenas
Atlantic Ocean,CV,Cape Verde
Mediterranean Sea,CY,Cyprus
North Sea,D,Bremen
Baltic Sea,D,Mecklenburg Vorpommern
North Sea,D,Niedersachsen
Baltic Sea,D,Schleswig Holstein
North Sea,D,Schleswig Holstein
Gulf of Aden,DJI,Djibouti
Red Sea,DJI,Djibouti
Baltic Sea,DK,Denmark
Kattegat,DK,Denmark
North Sea,DK,Denmark
Skagerrak,DK,Denmark
Atlantic Ocean,DOM,Dominican Republic
Caribbean Sea,DOM,Dominican Republic
Mediterranean Sea,DZ,Algeria
Atlantic Ocean,E,Andalusia
Mediterranean Sea,E,Andalusia
Atlantic Ocean,E,Asturias
Mediterranean Sea,E,Balearic Islands
Atlantic Ocean,E,Basque Country
Atlantic Ocean,E,Canary Islands
Atlantic Ocean,E,Cantabria
Mediterranean Sea,E,Catalonia
Atlantic Ocean,E,Galicia
Mediterranean Sea,E,Murcia
Mediterranean Sea,E,Valencia
Indian Ocean,EAK,Coast
Indian Ocean,EAT,Daressalam
Indian Ocean,EAT,Lindi
Indian Ocean,EAT,Mtwara
Indian Ocean,EAT,Pwani
Indian Ocean,EAT,Tanga
Pacific Ocean,EC,Ecuador
Red Sea,ER,Eritrea
Pacific Ocean,ES,El Salvador
