City,Province,Country,Island
Saint Johns,Antigua and Barbuda,AG,Antigua
Pago Pago,American Samoa,AMSA,Tutuila
Oranjestad,Aruba,ARU,Aruba
Hobart,Tasmania,AUS,Tasmania
The Valley,Anguilla,AXA,Anguilla
Bridgetown,Barbados,BDS,Barbados
Hamilton,Bermuda,BERM,Grand Bermuda
Manama,Bahrain,BRN,Bahrain
Bandar Seri Begawan,Brunei,BRU,Borneo
Nassau,Bahamas,BS,New Providence
Road Town,British Virgin Islands,BVIR,Tortola
Bayamo,Granma,C,Cuba
Camaguey,Camaguey,C,Cuba
Ciego de Avila,Ciego de Avila,C,Cuba
Cienfuegos,Cienfuegos,C,Cuba
Guantanamo,Guantanamo,C,Cuba
Havana,Ciudad de la Habana,C,Cuba
Holguin,Holguin,C,Cuba
Manzanillo,Granma,C,Cuba
Matanzas,Matanzas,C,Cuba
Nueva Gerona,Isla de la Juventud,C,Cuba
Pinar del Rio,Pinar del Rio,C,Cuba
Sancti Spiritus,Sancti Spiritus,C,Cuba
Santa Clara,Villa Clara,C,Cuba
Santiago de Cuba,Santiago de Cuba,C,Cuba
Victoria de las Tunas,Las Tunas,C,Cuba
George Town,Cayman Islands,CAYM,Grand Cayman
Saint Johns,Newfoundland,CDN,Newfoundland
Victoria,British Columbia,CDN,Vancouver Island
Colombo,Sri Lanka,CL,Sri Lanka
West Island,Cocos Islands,COCO,Pulau Panjang
Moroni,Comoros,COM,Grand Comoro
Avarua,Cook Islands,COOK,Rarotonga
Praia,Cape Verde,CV,Santiago
Nicosia,Cyprus,CY,Cyprus
Copenhagen,Denmark,DK,Seeland
Odense,Denmark,DK,Fuenen
Santo Domingo,Dominican Republic,DOM,Hispaniola
La Laguna,Canary Islands,E,Teneriffa
Las Palmas de Gran Canaria,Canary Islands,E,Gran Canaria
Palma de Mallorca,Balearic Islands,E,Mallorca
Santa Cruz de Tenerife,Canary Islands,E,Teneriffa
Ajaccio,Corse,F,Corse
Stanley,Falkland Islands,FALK,East Falkland
Torshavn,Faroe Islands,FARX,Streymoy
Suva,Fiji,FJI,Viti Levu
Papeete,French Polynesia,FPOL,Tahiti
Kolonia,Micronesia,FSM,Ponape
Palikir,Micronesia,FSM,Ponape
Aberdeen,Grampian,GB,Great Britain
Aberystwyth,Ceredigion,GB,Great Britain
Aylesbury,Buckinghamshire,GB,Great Britain
Barnsley,South Yorkshire,GB,Great Britain
Barry,Vale of Glamorgan,GB,Great Britain
Basildon,Essex,GB,Great Britain
Basingstoke,Hampshire,GB,Great Britain
Bedford,Bedfordshire,GB,Great Britain
Belfast,Northern Ireland,GB,Ireland
Beverley,Humberside,GB,Great Britain
Birmingham,West Midlands,GB,Great Britain
Blackburn,Lancashire,GB,Great Britain
Blackpool,Lancashire,GB,Great Britain
Bolton,Greater Manchester,GB,Great Britain
Bournemouth,Dorset,GB,Great Britain
Bracknell,Berkshire,GB,Great Britain
Bradford,West Yorkshire,GB,Great Britain
Braintree,Essex,GB,Great Britain
Bridgend,Bridgend,GB,Great Britain
Brighton,East Sussex,GB,Great Britain
Bristol,Avon,GB,Great Britain
Bury,Greater Manchester,GB,Great Britain
Caernarfon,Gwynedd,GB,Great Britain
Cambridge,Cambridgeshire,GB,Great Britain
Canterbury,Kent,GB,Great Britain
Cardiff,Cardiff,GB,Great Britain
Carlisle,Cumbria,GB,Great Britain
Carmarthen,Carmarthenshire,GB,Great Britain
Chelmsford,Essex,GB,Great Britain
Cheltenham,Gloucestershire,GB,Great Britain
Chester,Cheshire,GB,Great Britain
Chesterfield,Derbyshire,GB,Great Britain
Chichester,West Sussex,GB,Great Britain
Colchester,Essex,GB,Great Britain
Colwyn Bay,Aberconwy and Colwyn,GB,Great Britain
Coventry,West Midlands,GB,Great Britain
Crewe,Cheshire,GB,Great Britain
