Name,River,Lake,Sea,Length,SourceLongitude,SourceLatitude,Mountains,SourceAltitude,EstuaryLongitude,EstuaryLatitude
Aare,Rhein,Brienzersee,,288.0,8.2,46.55,Alps,2310.0,8.22,47.61
Adda,Po,Lago di Como,,313.0,10.3,46.55,Alps,2235.0,9.88,45.13
Akagera,,Lake Victoria,,275.0,29.3,-2.5,East African Rift,2700.0,33.0,-1.0
Allegheny River,Ohio River,,,523.0,-77.9,41.9,Appalachian Mountains,759.0,-80.0,40.42
Aller,Weser,,,211.0,11.23,52.1,,130.0,9.18,52.94
Alz,Inn,Chiemsee,,150.0,12.35,47.3,Alps,0.0,12.8,48.3
Amazonas,,,Atlantic Ocean,6448.0,-71.7,-15.5,Andes,5170.0,-50.0,0.0
Ammer,Isar,Ammersee,,168.0,11.05,47.57,Alps,850.0,11.96,48.5
Amudarja,,Ozero Aral,,1415.0,68.3,37.1,,310.0,59.0,44.0
Amur,,,Sea of Okhotsk,2824.0,121.48,53.33,,305.0,140.73,53.1
Angara,Jenissej,Ozero Baikal,,1779.0,113.0,56.5,,0.0,92.5,58.2
Argun,Amur,,,1620.0,122.46,49.94,,1200.0,121.48,53.33
Arkansas,Mississippi,,,2334.0,-106.3,39.25,,4260.0,-91.0,34.0
Arno,,,Mediterranean Sea,240.0,11.7,43.9,Apennin,1385.0,10.2,43.7
Aruwimi,Zaire,,,1287.0,14.7,-11.3,,0.0,29.5,2.5
Asahan,,,Malakka Strait,150.0,98.7,2.7,,905.0,99.2,3.1
Atbara,Nile,,,1120.0,37.3,12.8,Ethiopian Highlands,0.0,33.97,17.68
Bahr el-Djebel/Albert-Nil,White Nile,,,0.0,30.9,1.7,East African Rift,619.0,30.43,9.5
Bahr el-Ghasal,White Nile,,,716.0,0.0,0.0,,0.0,30.43,9.5
Bani,Niger,,,430.0,-6.56,12.6,,285.0,-4.2,14.52
Baro,Sobat,,,0.0,0.0,0.0,,0.0,0.0,0.0
Benue,Niger,,,1400.0,12.58,7.58,,1100.0,6.75,7.78
Black Drin,Drin,,,133.0,20.7,41.0,,695.0,20.4,42.1
Blue Nile,Nile,,,1783.0,37.3,12.0,Ethiopian Highlands,1830.0,32.5,15.6
Bomu,Ubangi,,,280.0,27.0,5.0,,0.0,22.5,4.0
Brahmaputra,,,Ganges,2896.0,81.33,31.06,,6000.0,89.8,23.8
Breg,Donau,,,45.9,8.16,48.1,Black Forest,1078.0,8.52,47.95
Brigach,Donau,,,43.0,8.28,48.11,Black Forest,940.0,8.52,47.95
Busira,Ruki,,,830.0,20.8,-0.2,,0.0,19.0,-0.3
Chatanga,,,Sibirian Sea,1636.0,95.0,68.0,,0.0,115.0,73.0
Chire,Zambezi,,,402.0,35.2,-14.2,East African Rift,474.0,35.5,-18.0
Colorado,,Lake Powell,Pacific Ocean,2330.0,-105.7,40.35,,2700.0,-114.8,31.81
Columbia River,,Franklin. D. Roosevelt Lake,Pacific Ocean,1953.0,-115.85,50.2,,808.0,-124.06,46.24
Connecticut River,,,Atlantic Ocean,655.0,-71.21,45.25,,0.0,-72.33,41.27
Cuango,Kwa,,,1100.0,14.2,-11.5,,0.0,17.4,3.3
Cuilo,Kwa,,,970.0,14.7,-11.3,,0.0,17.4,3.3
Dalaelv,,,Baltic Sea,520.0,15.1,60.7,,0.0,17.2,60.7
Darling River,Murray River,,,2739.0,152.0,-28.0,Great Dividing Range,0.0,141.9,-34.1
Detroit River,,Lake Erie,,200.0,-82.6,42.1,,176.0,-82.2,43.0
Dnepr,,,Black Sea,2201.0,34.0,55.5,Waldai Hills,220.0,32.252,46.5257
Dnjestr,,,Black Sea,1352.0,23.0,49.0,Karpaten,1000.0,30.23,46.35
Don,,,Sea of Azov,1870.0,37.5,53.0,,0.0,39.4,47.1
Donau,,,Black Sea,2845.0,8.52,47.95,Black Forest,686.0,29.65,45.16
