Name,Code,Capital,Province,Area,Population
Austria,A,Vienna,Vienna,83850.0,8023244
Afghanistan,AFG,Kabul,Afghanistan,647500.0,22664136
Antigua and Barbuda,AG,Saint Johns,Antigua and Barbuda,442.0,65647
Albania,AL,Tirane,Albania,28750.0,3249136
American Samoa,AMSA,Pago Pago,American Samoa,199.0,65628
Andorra,AND,Andorra la Vella,Andorra,450.0,72766
Angola,ANG,Luanda,Luanda,1246700.0,10342899
Armenia,ARM,Yerevan,Armenia,29800.0,3463574
Aruba,ARU,Oranjestad,Aruba,193.0,103065
Australia,AUS,Canberra,Australia Capital Territory,7686850.0,18260863
Anguilla,AXA,The Valley,Anguilla,102.0,14436
Azerbaijan,AZ,Baku,Azerbaijan,86600.0,7676953
Belgium,B,Brussels,Brabant,30510.0,10170241
Bangladesh,BD,Dhaka,Bangladesh,144000.0,123062800
Barbados,BDS,Bridgetown,Barbados,430.0,257030
Benin,BEN,Porto-Novo,Benin,112620.0,5709529
Bermuda,BERM,Hamilton,Bermuda,53.3,67837
Burkina Faso,BF,Ouagadougou,Burkina Faso,274200.0,10623323
Bulgaria,BG,Sofia,Bulgaria,110910.0,8612757
Bhutan,BHT,Thimphu,Bhutan,47000.0,1822625
Burundi,BI,Bujumbura,Burundi,27830.0,5943057
Bosnia and Herzegovina,BIH,Sarajevo,Bosnia and Herzegovina,51233.0,2656240
Bolivia,BOL,La Paz,Bolivia,1098580.0,7165257
