Country,Target
RSA,True
PL,True
KWT,False
LS,True
MNE,False
WD,False
MEX,True
UAE,False
D,False
SPMI,False
MART,False
ROU,True
V,False
KAZ,True
RN,True
PNG,True
RT,True
LAO,True
SD,True
ARU,False
ER,True
I,False
HR,False
AND,False
BOL,True
CO,True
PY,True
B,False
LAR,True
NAM,True
VN,True
MACX,True
TL,True
TJ,True
CZ,True
SLB,True
RIM,False
TO,False
GBZ,False
J,False
GBG,True
BG,True
PE,True
BEN,True
FGU,False
ARM,True
SVAX,False
RM,True
NIC,True
PK,True
TR,True
IND,True
GUAM,False
CDN,False
GCA,True
Q,False
RC,False
STP,True
FJI,False
UA,True
VIRG,False
MNG,True
SYR,True
L,False
BERM,False
RA,False
IS,False
AMSA,False
KN,False
FALK,False
RB,True
EAT,True
FPOL,False
BS,False
GE,False
WAN,True
WS,True
COOK,False
BD,False
AL,True
NEP,True
BRN,False
C,False
TUV,False
F,False
ES,True
MS,True
LB,True
BHT,True
TAD,True
MK,True
EC,True
SMAR,False
GR,True
EAK,False
